"dcterms:identifier";"aorum:gildingGenericTerm";"aorum:gildingSpecificTerm";"aorum:gildingTechnique";"dcterms:spatial";"aorum:harmonise";"aorum:incertitude";"aorum:spatialharmonise";"aorum:spatialincertitude"
"SEm1515MLAPraCSA01";"Attribut";"Regalia";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1515MLAPraCSA02";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1515MLAPraCSA02";"Attribut";"Regalia";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1525AAlPraCSA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1525AAlPraCSA";"Vêtement";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1512LCaPraCSA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1512LCaPraCSA";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1500MHKAPraCSA";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1500MHKAPraCSA";"Attribut religieux";"Nimbe";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1500MHKAPraCSA";"Attribut";"Regalia";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"SEm1500MHKAPraCSA";"Parure";"Bijou";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"SEm1500MHKAPraCSA";"Attribut";"Attribut guerrier";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"SEm1510AnoPraCSA01";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1510AnoPraCSA01";"Objet";"Orfèvrerie";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"PBa1475AnoMNAA01";"Attribut religieux";"Nimbe";"Bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA04";"Ornement";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1475AnoMNAA02";"Fond d'or";;"Bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA05";"Ornement";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA05";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA06";"Attribut religieux";"Nimbe";"Bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"PBa1500AnoMNAA07";"Attribut religieux";"Nimbe";"Bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"Esp1490AnoMNAA";"Attribut religieux";"Nimbe";"Bol (?)";"Espagne";"Bol";1;"Espagne";0
"Esp1490AnoMNAA";"Attribut";"Attribut guerrier";"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Esp1490AnoMNAA";"Vêtement";;"Bol (?)";"Espagne";"Bol";1;"Espagne";0
"Esp1495AnoMNAA";"Attribut religieux";"Nimbe";"Bol (?)";"Espagne";"Bol";1;"Espagne";0
"Esp1495AnoMNAA";"Objet";"Livre";"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Esp1500AnoMNAA01";"Fond d'or";;"Bol (?)";"Espagne";"Bol";1;"Espagne";0
"Esp1500AnoMNAA02";"Fond d'or";;"Bol (?)";"Espagne";"Bol";1;"Espagne";0
