lambda_nm;Rnorm_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt2_bruni_verni_tot;DR_eprouvette_2_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;DR_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;Rnorm_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_3_detrempe_pt2_bruni_verni_tot;DR_eprouvette_3_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_5_mixtion_pt1_tot;DR_eprouvette_5_mixtion_pt1_tot;Rnorm_eprouvette_6_coquille_pt1_liant_verni_tot;DR_eprouvette_6_coquille_pt1_liant_verni_tot;Rnorm_eprouvette_6_coquille_pt2_liant_eau_tot;DR_eprouvette_6_coquille_pt2_liant_eau_tot
408,2;1,5079E+1;0,0348507;11,7478;0,0318956;2,17365;0,00330051;2,16055;0,00338854;6,22451;0,0125285;4,02492;0,0075702;4,74534;0,00987787;1,37742;0,00393872;0,716662;0,00303604
408,3;15,0806;0,0350559;11,7497;0,0320537;2,17365;0,0033107;2,1605;0,00339575;6,22511;0,0125974;4,02527;0,00759603;4,7458;0,00995282;1,37777;0,00395199;0,71688;0,00302584
408,4;15,0825;0,0352302;11,7517;0,0321865;2,17367;0,00331449;2,16047;0,00339988;6,22579;0,0126558;4,02567;0,00761662;4,74632;0,0100196;1,37816;0,003962;0,717082;0,00301354
408,5;15,0846;0,035367;11,754;0,0322896;2,17373;0,00331266;2,16047;0,00340195;6,22656;0,012702;4,02611;0,0076314;4,7469;0,0100768;1,37858;0,00396915;0,71727;0,00299955
408,6;15,087;0,0354599;11,7564;0,0323587;2,17382;0,003306;2,1605;0,00340295;6,22743;0,0127341;4,0266;0,00763982;4,74752;0,0101228;1,37904;0,00397384;0,717449;0,00298431
408,7;15,0895;0,0355022;11,7591;0,0323895;2,17394;0,00329531;2,16056;0,00340389;6,22838;0,0127505;4,02714;0,00764132;4,74821;0,0101561;1,37953;0,00397648;0,717623;0,00296822
408,8;15,0923;0,0354875;11,7619;0,0323776;2,17409;0,00328138;2,16067;0,00340578;6,22941;0,0127494;4,02772;0,00763534;4,74895;0,0101752;1,38005;0,00397746;0,717796;0,00295173
408,9;15,0953;0,0354093;11,7649;0,0323188;2,17428;0,00326501;2,16082;0,00340962;6,23053;0,012729;4,02834;0,00762134;4,74974;0,0101786;1,38062;0,0039772;0,717972;0,00293526
409;15,0986;0,035261;11,7681;0,0322086;2,17451;0,00324698;2,16101;0,00341643;6,23174;0,0126876;4,02901;0,00759875;4,7506;0,0101648;1,38122;0,00397608;0,718155;0,00291922
409,1;15,102;0,0350374;11,7715;0,0320438;2,17478;0,00322801;2,16126;0,00342703;6,23303;0,0126238;4,02972;0,00756718;4,75151;0,0101326;1,38186;0,0039745;0,718348;0,00290401
409,2;15,1056;0,0347403;11,775;0,031826;2,17507;0,00320849;2,16155;0,00344145;6,23439;0,0125382;4,03047;0,00752704;4,75248;0,0100825;1,38253;0,00397268;0,718553;0,00288972
409,3;15,1094;0,0343783;11,7788;0,0315617;2,17541;0,00318844;2,1619;0,0034589;6,23583;0,0124329;4,03127;0,00747956;4,7535;0,0100169;1,38322;0,00397074;0,71877;0,00287624
409,4;15,1133;0,0339611;11,7826;0,0312584;2,17577;0,00316783;2,16229;0,00347839;6,23733;0,0123109;4,0321;0,00742613;4,75456;0,00993833;1,38392;0,00396874;0,718999;0,00286337
409,5;15,1174;0,0334986;11,7865;0,0309236;2,17616;0,00314662;2,16273;0,00349897;6,23888;0,0121747;4,03297;0,00736812;4,75566;0,00984955;1,38463;0,00396677;0,719242;0,00285092
409,6;15,1215;0,0330009;11,7906;0,0305649;2,17657;0,00312476;2,16321;0,00351966;6,24048;0,0120271;4,03387;0,00730692;4,7568;0,00975315;1,38534;0,00396491;0,719497;0,00283872
409,7;15,1257;0,0324777;11,7947;0,0301897;2,17701;0,00310222;2,16373;0,00353951;6,24213;0,0118708;4,03482;0,00724393;4,75797;0,00965179;1,38603;0,00396323;0,719766;0,00282656
